식품명,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지,단백질,지방,탄수화물,총당류,나트륨,콜레스테롤,총포화지방산,트랜스지방산,카페인
(EX)HOT 카라멜 마끼아또,630,mL,0,630,412,15,0,0,45,275,0,10.4,0,182
ICED 바닐라 라떼,400,mL,0,400,168,6,0,0,15,79,0,4.9,0,103
HOT 바닐라 라떼,370,mL,0,370,218,8,0,0,18,119,0,6.7,0,103
(EX)ICED 바닐라 라떼,630,mL,0,630,298,10,0,0,26,127,0,8.5,0,206
(EX)HOT 바닐라 라떼,630,mL,0,630,435,17,0,0,36,237,0,13.5,0,206
ICED 화이트 초콜릿 모카,400,mL,0,400,310,5,0,0,29,122,0,14.9,0,91
HOT 화이트 초콜릿 모카,370,mL,0,370,346,8,0,0,32,163,0,15.3,0,91
ICED 민트모카,400,mL,0,400,335,6,0,0,28,119,0,16.3,0,113
HOT 민트 모카,370,mL,0,370,360,8,0,0,30,150,0,16.2,0,113
ICED 초콜릿,400,mL,0,400,321,6,0,0,26,143,0,15.5,0,9
HOT 초콜릿,370,mL,0,370,346,8,0,0,30,152,0,15.4,0,9
(EX)ICED 초콜릿,630,mL,0,630,459,11,0,0,44,185,0,18.1,0,16
(EX)HOT 초콜릿,630,mL,0,630,564,17,0,0,52,281,0,21,0,16
ICED 화이트 초콜릿,400,mL,0,400,321,5,0,0,31,137,0,15.5,0,0
HOT 화이트 초콜릿,370,mL,0,370,345,7,0,0,33,168,0,15.4,0,0
ICED 녹차 라떼,400,mL,0,400,188,6,0,0,24,87,0,3.9,0,43
HOT 녹차 라떼,370,mL,0,370,238,8,0,0,28,127,0,5.7,0,43
(EX)IXED 녹차 라떼,630,mL,0,630,341,10,0,0,45,148,0,6.6,0,84
(EX)HOT 녹차 라떼,630,mL,0,630,466,16,0,0,54,248,0,11.1,0,84
ICED 민트 초콜릿,400,mL,0,400,346,7,0,0,29,133,0,16.9,0,21
HOT 민트 초콜릿,370,mL,0,370,371,9,0,0,32,164,0,16.8,0,21
ICED 이곡 라떼,400,mL,0,400,235,9,0,0,24,92,0,4.2,0,0
HOT 이곡 라떼,370,mL,0,370,279,11,0,0,28,127,0,5.8,0,0
ICED 토피 넛 라떼,400,mL,0,400,254,6,0,0,21,173,0,10.5,0,19
HOT 토피 넛 라떼,370,mL,0,370,308,8,0,0,25,215,0,12.4,0,19
(EX)IXCED 토피 넛 라떼,630,mL,0,630,398,10,0,0,32,274,0,16.2,0,27
(EX)HOT 토피 넛 라떼,630,mL,0,630,523,16,0,0,41,374,0,20.7,0,27
ICED 고구마 라떼,400,mL,0,400,425,7,0,0,34,103,0,5,0,0
HOT 고구마 라떼,370,mL,0,370,325,7,0,0,34,103,0,5,0,0
홍시주스,400,mL,0,400,238,1,0,0,57,27,0,0,0,0
골드키위주스,400,mL,0,400,241,1,0,0,56,23,0,0,0,0
딸기주스,400,mL,0,400,260,2,0,0,59,4,0,0,0,0
아이스티 복숭아,400,mL,0,400,185,0,0,0,44,9,0,0.8,0,11
(EX)아이스티 복숭아,630,mL,0,630,370,0,0,0,87,18,0,1.5,0,21
아이스티 레몬,400,mL,0,400,178,0,0,0,43,16,0,0,0,14
(EX)아이스티 레몬,630,mL,0,630,356,0,0,0,86,32,0,0,0,28
ICED 어린잎 녹차(작설차),400,mL,0,400,0,0,0,0,0,0,0,0,0,14
HOT 어린잎 녹차(작설차),370,mL,0,370,0,0,0,0,0,0,0,0,0,14
ICED 얼그레이 홍차(블랙티),400,mL,0,400,0,0,0,0,0,0,0,0,0,18
HOT 얼그레이 홍차(블랙티),370,mL,0,370,0,0,0,0,0,0,0,0,0,18
ICED 로즈 자스민 티,400,mL,0,400,0,0,0,0,0,0,0,0,0,17
